Name	Latitude	Longitude
pin_1	30.63811	-88.040349
pin_2	30.656912	-88.01528
pin_3	30.663179	-87.990212
pin_4	30.656912	-87.968277
pin_5	30.644378	-87.949476
pin_6	30.631843	-87.930675
pin_7	30.609908	-87.924408
pin_8	30.581707	-87.924408
pin_9	30.559772	-87.91814
pin_10	30.54097	-87.927541
pin_11	30.522169	-87.940075
pin_12	30.490834	-87.943209
pin_13	30.465765	-87.943209
pin_14	30.44383	-87.933808
pin_15	30.559772	-88.05915
pin_16	30.58484	-88.043482
pin_17	30.613042	-88.018414
pin_18	30.619309	-88.027815
pin_19	30.575439	-87.980811
pin_20	30.619309	-87.980811
pin_21	30.63811	-87.987079
pin_22	30.603641	-87.952609
pin_23	30.591107	-87.987079
pin_24	30.547238	-88.027815
pin_25	30.575439	-88.01528
pin_26	30.528436	-87.977678
pin_27	30.550371	-87.952609
pin_28	30.569172	-87.952609
pin_29	30.544104	-87.993346
pin_30	30.324756	-87.830401
pin_31	30.34669	-87.868004
pin_32	30.318488	-87.877404
pin_33	30.299687	-87.915007
pin_34	30.274619	-87.899339
pin_35	30.258951	-87.886805
pin_36	30.265218	-87.852336
pin_37	30.296554	-87.855469
pin_38	30.290286	-87.792798
pin_39	30.296554	-87.821
pin_40	30.362358	-88.353704
pin_41	30.315355	-88.378772
pin_42	30.274619	-88.378772
pin_43	30.296554	-88.256564
pin_44	30.331023	-88.303567
pin_45	30.356091	-88.325502
pin_46	30.324756	-88.331769
pin_47	30.290286	-88.190759
pin_48	30.34669	-88.259697
pin_49	30.296554	-88.14689
pin_50	30.296554	-88.096753
pin_51	30.309088	-88.065417
pin_52	30.331023	-88.012147
pin_53	30.33729	-88.087352
pin_54	30.374892	-88.056017
pin_55	30.349824	-88.037215
pin_56	30.365492	-87.968277
pin_57	30.374892	-87.996479
pin_58	30.493967	-88.074818
pin_59	30.4877	-88.046616
pin_60	30.478299	-88.065417
pin_61	30.453231	-88.065417
pin_62	30.456365	-88.021548
pin_63	30.418762	-88.065417
pin_64	30.393694	-88.074818
pin_65	30.403094	-87.958877
pin_66	30.412495	-87.987079
pin_67	30.393694	-88.00588
pin_68	30.418762	-88.021548
pin_69	30.425029	-88.037215
pin_70	30.440697	-87.983945
pin_71	30.506501	-87.999613
pin_72	30.497101	-87.965144
pin_73	30.519036	-88.068551
pin_74	30.356091	-87.933808
pin_75	30.412495	-87.927541
