Name	Latitude	Longitude
pin_1	27.192258	-80.801835
pin_2	27.179894	-80.770925
pin_3	27.189167	-80.81729
pin_4	27.152075	-80.752379
pin_5	27.127347	-80.730742
pin_6	27.093346	-80.712196
pin_7	27.053163	-80.690559
pin_8	26.997525	-80.687468
pin_9	26.972797	-80.672013
pin_10	26.929523	-80.66274
pin_11	26.886249	-80.672013
pin_12	26.849156	-80.699832
pin_13	26.796609	-80.718378
pin_14	26.76879	-80.749288
pin_15	26.734789	-80.767834
pin_16	26.725516	-80.780198
pin_17	26.740971	-80.820381
pin_18	26.753335	-80.860564
pin_19	26.784245	-80.91002
pin_20	26.83061	-80.916202
pin_21	26.870794	-80.934748
pin_22	26.895522	-80.937839
pin_23	26.923341	-80.916202
pin_24	26.972797	-81.067661
pin_25	26.972797	-81.03366
pin_26	27.050072	-80.882201
pin_27	27.04389	-80.906929
pin_28	27.090255	-80.894565
pin_29	27.111892	-80.854382
pin_30	27.090255	-80.860564
pin_31	27.071709	-80.826563
pin_32	27.099528	-80.823472
pin_33	27.148984	-80.804926
pin_34	27.155166	-80.826563
pin_35	27.099528	-80.777107
pin_36	27.031526	-80.75547
pin_37	27.003707	-80.736924
pin_38	26.978979	-80.804926
pin_39	27.031526	-80.798744
pin_40	27.053163	-80.798744
pin_41	27.062436	-80.746197
pin_42	27.087164	-80.749288
pin_43	27.065527	-80.767834
pin_44	26.966615	-80.715287
pin_45	27.019162	-80.699832
pin_46	26.914068	-80.872928
pin_47	26.880067	-80.826563
pin_48	26.917159	-80.789471
pin_49	26.92025	-80.81729
pin_50	26.892431	-80.8482
pin_51	26.938796	-80.842018
pin_52	26.880067	-80.87911
pin_53	26.824428	-80.860564
pin_54	26.846065	-80.869837
pin_55	26.7997	-80.78638
pin_56	26.83061	-80.798744
pin_57	26.7997	-80.820381
pin_58	26.846065	-80.826563
pin_59	26.796609	-80.854382
pin_60	26.827519	-80.733833
pin_61	26.864611	-80.764743
pin_62	26.883158	-80.78638
pin_63	26.849156	-80.746197
pin_64	26.864611	-80.789471
pin_65	26.88934	-80.690559
pin_66	26.941887	-80.764743
pin_67	26.978979	-80.752379
pin_68	26.935705	-80.730742
pin_69	26.954251	-80.783289
pin_70	26.92025	-80.696741
pin_71	26.901704	-80.733833
pin_72	26.876976	-80.709105
pin_73	26.907886	-80.746197
pin_74	26.941887	-80.699832
pin_75	26.944978	-80.672013
pin_76	26.991343	-80.758561
pin_77	27.006798	-80.78638
pin_78	26.892431	-80.900747
pin_79	26.852247	-80.913111
pin_80	26.793518	-80.876019
pin_81	26.784245	-80.761652
pin_82	26.756426	-80.780198
pin_83	26.771881	-80.814199
pin_84	27.130438	-80.783289
pin_85	27.050072	-80.715287
