Name	Latitude	Longitude
pin_1	40.343378	-111.916637
pin_2	40.35267	-111.901149
pin_3	40.32789	-111.898052
pin_4	40.312402	-111.882564
pin_5	40.337183	-111.839198
pin_6	40.349573	-111.867076
pin_7	40.337183	-111.854686
pin_8	40.284524	-111.845393
pin_9	40.293817	-111.860881
pin_10	40.296914	-111.873271
pin_11	40.312402	-111.808222
pin_12	40.330987	-111.81132
pin_13	40.321695	-111.826808
pin_14	40.064597	-111.891857
pin_15	40.07389	-111.904247
pin_16	40.08628	-111.92593
pin_17	40.104866	-111.92593
pin_18	40.117256	-111.932125
pin_19	40.123451	-111.941417
pin_20	40.138939	-111.93832
pin_21	40.160622	-111.916637
pin_22	40.179207	-111.901149
pin_23	40.20089	-111.882564
pin_24	40.222573	-111.873271
pin_25	40.250451	-111.863979
pin_26	40.296914	-111.78654
pin_27	40.278329	-111.780344
pin_28	40.256646	-111.771052
pin_29	40.231866	-111.767954
pin_30	40.219475	-111.761759
pin_31	40.194695	-111.761759
pin_32	40.179207	-111.771052
pin_33	40.166817	-111.792735
pin_34	40.157524	-111.826808
pin_35	40.148231	-111.854686
pin_36	40.129646	-111.870174
pin_37	40.107963	-111.876369
pin_38	40.120353	-111.898052
pin_39	40.142036	-111.901149
pin_40	40.135841	-111.894954
pin_41	40.154427	-111.857783
pin_42	40.173012	-111.863979
pin_43	40.173012	-111.870174
pin_44	40.1885	-111.860881
pin_45	40.185402	-111.82371
pin_46	40.194695	-111.802027
pin_47	40.20089	-111.833003
pin_48	40.234963	-111.839198
pin_49	40.219475	-111.839198
pin_50	40.222573	-111.82371
pin_51	40.22567	-111.802027
pin_52	40.247353	-111.802027
pin_53	40.272134	-111.82371
pin_54	40.256646	-111.81132
pin_55	40.287622	-111.82371
pin_56	40.318597	-111.848491
pin_57	40.312402	-111.879466
pin_58	40.32789	-111.879466
pin_59	40.253548	-111.842296
pin_60	40.203988	-111.79893
